address,address_clean,lat,lon
"751 COUNTRY LANE, LAKE PARK, Georgia 31636-0000","751 COUNTRY LANE, LAKE PARK, Georgia 31636",30.6851827,-83.2126146
"149 HWY 94 EAST, STATENVILLE, Georgia 31648-2018","149 HWY 94 EAST, STATENVILLE, Georgia 31648",30.703514,-83.027371
"905 DILWORTH STREET, SAINT MARYS, Georgia 31558-8695","905 DILWORTH STREET, SAINT MARYS, Georgia 31558",30.731615,-81.557461
"2040 DAN PROCTOR DR, ST MARYS, Georgia 31558","2040 DAN PROCTOR DR, ST MARYS, Georgia 31558",30.7788147,-81.6151406
"51 LINDSEY LANE, ST. MARYS, Georgia 31558","51 LINDSEY LANE, ST. MARYS, Georgia 31558",30.7838808,-81.6153625
"907 N COURT STREET, QUITMAN, Georgia 31643","907 N COURT STREET, QUITMAN, Georgia 31643",30.7954764,-83.5594258
"500 EAST COURTLAND AVENUE, QUITMAN, Georgia 31643-1165","500 EAST COURTLAND AVENUE, QUITMAN, Georgia 31643",30.7975418,-83.5580685
"711 CHARLES GILMAN JR. AVE STE B, KINGSLAND, Georgia 31548","711 CHARLES GILMAN JR. AVE STE B, KINGSLAND, Georgia 31548",30.8019269,-81.6480995
"400 SOUTH PINETREE BLVD., THOMASVILLE, Georgia 31792-7128","400 SOUTH PINETREE BLVD., THOMASVILLE, Georgia 31792",30.813421,-83.992574
"951 SOUTH BROAD STREET, THOMASVILLE, Georgia 31792-6161","951 SOUTH BROAD STREET, THOMASVILLE, Georgia 31792",30.8263291,-83.9697259
"116 ROSEDALE AVE, THOMASVILLE, Georgia 31792","116 ROSEDALE AVE, THOMASVILLE, Georgia 31792",30.8290401,-83.976468
"509 GORDON AVENUE, THOMASVILLE, Georgia 31792-6645","509 GORDON AVENUE, THOMASVILLE, Georgia 31792",30.8295952,-83.9752711
"206 SOUTH PATTERSON STREET, VALDOSTA, Georgia 31601-5668","206 SOUTH PATTERSON STREET, VALDOSTA, Georgia 31601",30.8297153,-83.2783807
"484 SMITH AVENUE, THOMASVILLE, Georgia 31792-5535","484 SMITH AVENUE, THOMASVILLE, Georgia 31792",30.8354598,-83.9723396
"454 SMITH AVENUE, THOMASVILLE, Georgia 31792","454 SMITH AVENUE, THOMASVILLE, Georgia 31792",30.8354691,-83.9729302
"2587 THIRD STREET, FOLKSTON, Georgia 31537-8964","2587 THIRD STREET, FOLKSTON, Georgia 31537",30.8393621,-82.0051254
"105 WEST CRANFORD AVENUE, VALDOSTA, Georgia 31602-2930","105 WEST CRANFORD AVENUE, VALDOSTA, Georgia 31602",30.855272,-83.2889818
"1178 5TH STREET SE, CAIRO, Georgia 39828-3141","1178 5TH STREET SE, CAIRO, Georgia 39828",30.8629886,-84.2001356
"1030 4TH STREET SE, CAIRO, Georgia 39828-3000","1030 4TH STREET SE, CAIRO, Georgia 39828",30.8649442,-84.2011043
"980 4TH STREET SE, CAIRO, Georgia 39828","980 4TH STREET SE, CAIRO, Georgia 39828",30.8654629,-84.2013059
"2704 N. OAK ST., VALDOSTA, Georgia 31602-4725","2704 N. OAK ST., VALDOSTA, Georgia 31602",30.8668669,-83.2923527
"2707 BARACK OBAMA BLVD, VALDOSTA, Georgia 31602","2707 BARACK OBAMA BLVD, VALDOSTA, Georgia 31602",30.8684537,-83.265905
"406 M NORTHSIDE DRIVE, VALDOSTA, Georgia 31602","406 M NORTHSIDE DRIVE, VALDOSTA, Georgia 31602",30.871847,-83.2824603
"3440 NORTH VALDOSTA ROAD, VALDOSTA, Georgia 31602-1079","3440 NORTH VALDOSTA ROAD, VALDOSTA, Georgia 31602",30.8796656,-83.3019134
"1 DOCTORS PARK, CAIRO, Georgia 39828-3072","1 DOCTORS PARK, CAIRO, Georgia 39828",30.882304,-84.194919
"3301 NORTH OAK STREET EXT, VALDOSTA, Georgia 31605","3301 NORTH OAK STREET EXT, VALDOSTA, Georgia 31605",30.884066,-83.291702
"603 SOUTH WHEAT AVENUE, BAINBRIDGE, Georgia 39819-4369","603 SOUTH WHEAT AVENUE, BAINBRIDGE, Georgia 39819",30.8961554,-84.5533356
"928 S. WEST STREET, BAINBRIDGE, Georgia 39819-0000","928 S. WEST STREET, BAINBRIDGE, Georgia 39819",30.8966811,-84.5765074
"509 WHEAT AVENUE, BAINBRIDGE, Georgia 39819","509 WHEAT AVENUE, BAINBRIDGE, Georgia 39819",30.9017116,-84.5536567
"1500 E. SHOTWELL STREET, BAINBRIDGE, Georgia 39819","1500 E. SHOTWELL STREET, BAINBRIDGE, Georgia 39819",30.902896,-84.5522368
"503 WEST MAIN STREET, HAHIRA, Georgia 31632-1028","503 WEST MAIN STREET, HAHIRA, Georgia 31632",30.9907715,-83.3751341
"53 W. MURRELL STREET, LAKELAND, Georgia 31635-6836","53 W. MURRELL STREET, LAKELAND, Georgia 31635",31.039368,-83.077036
"285 SWEAT STREET, HOMERVILLE, Georgia 31634-2301","285 SWEAT STREET, HOMERVILLE, Georgia 31634",31.0394591,-82.7449088
"205 BRESEE STREET, DONALSONVILLE, Georgia 39845","205 BRESEE STREET, DONALSONVILLE, Georgia 39845",31.0508991,-84.8794695
"904 NORTH WILEY AVENUE, DONALSONVILLE, Georgia 39845-1127","904 NORTH WILEY AVENUE, DONALSONVILLE, Georgia 39845",31.0510483,-84.8801651
"172 M.J. TAYLOR ROAD, ADEL, Georgia 31620-1504","172 M.J. TAYLOR ROAD, ADEL, Georgia 31620",31.1102182,-83.4271667
"8 LAUREL COURT, MOULTRIE, Georgia 31768-6889","8 LAUREL COURT, MOULTRIE, Georgia 31768",31.1234086,-83.7796375
"3131 S. MAIN ST, MOULTRIE, Georgia 31768","3131 S. MAIN ST, MOULTRIE, Georgia 31768",31.1260539,-83.7803152
"6 HOSPITAL PARK, MOULTRIE, Georgia 31768-6700","6 HOSPITAL PARK, MOULTRIE, Georgia 31768",31.1277,-83.778651
